id,title,canonical_filename,manifest_visual_status,website_use,migration_status
15,Web Search Intelligence,biella_web_search_intelligence_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
16,AI Image Pipeline,biella_ai_image_pipeline_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
17,Visualization Studio,biella_visualization_studio_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
18,Task Execution Board,biella_task_execution_board_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
19,Prompt Pack Organizer,biella_prompt_pack_organizer_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
20,Asset Progress Tracker,biella_asset_progress_tracker_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
21,"Code, Script & IDE Workspace",biella_engine_neon_ide_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
22,Blueprint / Visual Scripting,neon_blueprint_visual_scripting_editor.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
23,"Shader, Material & Texture Authoring",biella_engine_shader_authoring_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
24,UI / HUD / Menu Designer,biella_engine_ui_designer_mockup.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
25,"Networking, Multiplayer & Live Ops",biella_engine_live_ops_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
26,"Profiling, Debugging & Optimization",biella_engine_profiling_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
27,"Build, Test & CI/CD Center",biella_engine_neon_ci_cd_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
28,"Plugins, Extensions & Marketplace",biella_engine_neon_plugin_marketplace_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
29,"Input, Gameplay & Controller Systems",biella_engine_input_systems_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
30,Cinematics & Sequencer,biella_engine_cinematics_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
31,Deep Research Command Center,biella_engine_deep_research_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
32,Intelligence / Web Analysis,biella_engine_neon_intelligence_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
33,Execution Orchestration,biella_engine_orchestration_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
34,Analytics / Visualization,biella_engine_neon_analytics_dashboard_ui_kit.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
35,Knowledge Graph Nexus,biella_knowledge_graph_nexus_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
36,Prompt Lab,biella_engine_neon_prompt_lab_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
37,Benchmark & Evaluation Center,biella_engine_cyberpunk_benchmark_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
38,Task Planning Command Board,neon_task_planning_command_board.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
39,Reporting Dashboard,biella_neon_reporting_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
40,Automation Pipeline,neon_automation_pipeline_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
41,Memory Dashboard,biella_engine_memory_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
42,Research Workspace,biella_engine_research_dashboard_sheet_42.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
43,Multi-Agent Control,neon_multi_agent_control_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
44,Source Control,neon_source_control_dashboard_sheet.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
45,Build Farm,biella_engine_build_farm_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
46,QA Automation,biella_engine_qa_automation_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
47,Telemetry & Observability,biella_engine_telemetry_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
48,Compute Resource Control,cyberpunk_compute_resource_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
49,Procedural World Simulation,procedural_world_simulation_dashboard.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
50,Collaboration Workspace,neon_collaboration_dashboard_asset_sheet.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
